div_num,sch_num,sch_name
029,2243,Eagle View Elem.
029,2243,Eagle View Elementary
029,2243,Eagle View Elementary School
029,2251,Rocky Run E.C. Resource Ctr.
029,2252,Virginia Hills E.C. Resource Ctr.
029,2347,Coates Elementary
029,2347,Coates Elementary School
029,2348,Laurel Hill Elementary
029,2348,Laurel Hill Elementary School
029,9996,DJJ or Fairfax/Falls Church Community SVCS BD Schools
030,,
030,0010,Marshall Middle
030,0020,Mary Walter Elementary
030,0120,Claude Thompson Elementary
030,0450,Grace Miller Elementary
030,0460,C. Hunter Ritchie Elementary
030,0510,Kettle Run High
030,0510,Kettle Run High School
030,0511,Greenville Elementary
030,0511,Greenville Elementary School
030,0520,Cedar Lee Middle
030,0530,Margaret M. Pierce Elementary
030,0660,Warrenton Middle
030,0670,W. C. Taylor Middle
030,0670,W.C. Taylor Middle
030,0701,Fauquier High
030,0720,P. B. Smith Elementary
030,0720,P.B. Smith Elementary
030,0730,C. M. Bradley Elementary
030,0730,C.M. Bradley Elementary
030,0740,W. G. Coleman Elementary
030,0740,W.G. Coleman Elementary
030,0750,H. M. Pearson Elementary
030,0750,H.M. Pearson Elementary
030,0851,Liberty High
030,0853,James G. Brumfield Elementary
030,0854,Auburn Middle
031,,
031,0090,Check Elementary
031,0360,Floyd Elementary
031,0500,Willis Elementary
031,0650,Indian Valley Elementary
031,0660,Floyd County High
032,,
032,0020,Fluvanna Middle
032,0260,Fluvanna County High
032,0270,Columbia Dist. Elementary
032,0270,Columbia District Elementary
032,0290,Cunningham Dist. Elementary
032,0290,Cunningham District Elementary
032,0300,Central Elementary
033,,
033,0010,Henry Elementary
033,0020,Dudley Elementary
033,0031,Ben. Franklin Middle-West
033,0031,Benjamin Franklin Middle-West
033,0032,Ben. Franklin Middle-East
033,0032,Benjamin Franklin Middle-East
033,0350,Callaway Elementary
033,0660,Lee M. Waid Elementary
033,0690,Glade Hill Elementary
033,0960,Sontag Elementary
033,0980,Windy Gap Elementary
033,0980,Windy Gap Elementary School
033,1170,Snow Creek Elementary
033,1311,Franklin County High
033,1320,Burnt Chimney Elementary
033,1360,Ferrum Elementary
033,1370,Boones Mill Elementary
033,1380,Rocky Mount Elementary
033,1481,Center For Apl Tech&Career Expl
033,1481,Center For Applied Technology & Career Exploration 
033,1481,Center for Applied Technology & Career Exploration 
034,,
034,0010,Apple Pie Ridge Elementary
034,0020,Bass-Hoover Elementary
034,0030,James Wood High
034,0040,Indian Hollow Elementary
034,0320,Armel Elementary
034,0340,Middletown Elementary
034,0380,Gainesboro Elementary
034,0410,Stonewall Elementary
034,0420,James Wood Middle
034,0460,Frederick County Middle
034,0470,Senseny Road Elementary
034,0480,Robert E. Aylor Middle
034,0581,Sherando High
034,0582,Redbud Run Elementary
034,0583,Orchard View Elementary
034,0584,Millbrook High
034,0586,Admiral Richard E. Byrd Middle
034,0587,Evendale Elementary
034,0590,Greenwood Mill Elementary
035,,
035,0010,Eastern Comb School
035,0010,Eastern Elementary/Middle 
035,0390,Macy McClaugherty Combined 
035,0390,Macy Mcclaugherty Comb.
035,0390,Macy Mcclaugherty Elementary/Middle
035,0400,Narrows Comb.
035,0400,Narrows Elementary/Middle 
035,0461,Giles High
035,0470,Narrows High
036,,
036,0090,Page Middle
036,0100,Botetourt Elementary
036,0140,Thomas C. Walker Elementary
036,0240,Achilles Elementary
036,0250,Abingdon Elementary
036,0260,Gloucester High
036,0270,Petsworth Elementary
036,0280,Peasley Middle
036,0381,Bethel Elementary
037,,
037,0120,Byrd Elementary
037,0220,Goochland High
037,0260,Randolph Elementary
037,0340,Goochland Middle
037,0360,Goochland Elementary
038,,
038,0011,Independence Middle
038,0030,Providence Elementary
038,0160,Elk Creek Elementary
038,0421,Grayson County High
038,0422,Independence Elementary
038,0430,Grayson Highlands School
038,0440,Baywood Elementary
038,0480,Fairview Elementary
038,0570,Bridle Creek Elementary
038,0710,Mount Rogers Combined 
038,0710,Mt. Rogers Comb.
038,0910,Fries Middle School
038,0911,Fries Middle
038,0911,Fries Middle School
039,,
039,0010,Greene County Primary
039,0020,Nathanael Greene Elementary
039,0030,Ruckersville Elementary
